Price,Close,High,Low,Open,Volume,Returns,Volatility-20d
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F,,
Date,,,,,,,
2017-03-07,53.13999938964844,53.79999923706055,52.709999084472656,53.16999816894531,494677,-0.0011278453464387272,0.17509082507584364
2017-03-08,50.279998779296875,52.91999816894531,50.04999923706055,52.790000915527344,963392,-0.05382010995861408,0.2548921081901974
2017-03-09,49.279998779296875,50.84000015258789,48.59000015258789,50.220001220703125,1073506,-0.019888624190097515,0.2620402928106137
2017-03-10,48.4900016784668,50.11000061035156,48.310001373291016,49.61000061035156,796960,-0.01603078572238048,0.2592988519379113
2017-03-13,48.400001525878906,48.68000030517578,47.900001525878906,48.45000076293945,601362,-0.0018560558769347146,0.24800476026623894
2017-03-14,47.720001220703125,48.790000915527344,47.09000015258789,48.45000076293945,857711,-0.014049592639210795,0.24618678699738605
2017-03-15,48.86000061035156,49.040000915527344,48.15999984741211,48.7599983215332,655788,0.023889341166945632,0.26479298000354434
2017-03-16,48.75,49.619998931884766,48.45000076293945,49.0099983215332,516853,-0.002251342795281497,0.2647325961777295
2017-03-17,48.779998779296875,49.20000076293945,48.599998474121094,48.790000915527344,172340,0.0006153595753204399,0.2633136388721731
2017-03-20,48.220001220703125,48.7400016784668,47.84000015258789,48.70000076293945,142258,-0.011480065039104148,0.2637539375108946
2017-03-21,47.34000015258789,48.72999954223633,47.22999954223633,47.93000030517578,628119,-0.018249710614636205,0.2594462692500043
2017-03-22,48.040000915527344,48.31999969482422,47.0099983215332,48.15999984741211,680849,0.01478666583614685,0.2699704432526407
2017-03-23,47.70000076293945,48.47999954223633,47.58000183105469,48.150001525878906,499878,-0.007077438511829737,0.25791381216921355
2017-03-24,47.970001220703125,48.20000076293945,47.540000915527344,47.66999816894531,421027,0.005660386864678069,0.26131708675546
2017-03-27,47.72999954223633,48.279998779296875,47.08000183105469,48.119998931884766,466176,-0.005003161816956925,0.2600821944134067
2017-03-28,48.369998931884766,48.7400016784668,47.79999923706055,47.88999938964844,502377,0.013408744935815564,0.26863545143956163
2017-03-29,49.5099983215332,49.630001068115234,48.380001068115234,48.470001220703125,548615,0.023568315377757276,0.2876293558339254
2017-03-30,50.349998474121094,50.470001220703125,49.27000045776367,49.599998474121094,580668,0.01696627309766141,0.2879517066388426
2017-03-31,50.599998474121094,50.849998474121094,49.900001525878906,50.31999969482422,527607,0.004965243447395462,0.283263052129398
2017-04-03,50.2400016784668,50.83000183105469,50.119998931884766,50.689998626708984,440724,-0.007114561393483321,0.2837419156242258
2017-04-04,51.029998779296875,51.29999923706055,49.880001068115234,50.2400016784668,532054,0.015724464061247723,0.2911918047130206
2017-04-05,51.150001525878906,51.880001068115234,50.7400016784668,51.18000030517578,651398,0.0023516117862560915,0.21709362354233686
2017-04-06,51.70000076293945,51.81999969482422,50.77000045776367,50.79999923706055,473019,0.010752672935547825,0.20499910717944572
2017-04-07,52.2400016784668,52.939998626708984,51.4900016784668,51.70000076293945,796437,0.010444891828985003,0.1945698167588839
2017-04-10,53.08000183105469,53.18000030517578,52.290000915527344,52.310001373291016,565439,0.01607963486980779,0.198036581930734
2017-04-11,53.400001525878906,53.45000076293945,52.70000076293945,53.130001068115234,598003,0.006028630063780405,0.18523568455117384
